date	close
17-Feb-02	6
18-Feb-02	13
19-Feb-02	10
20-Feb-02	6
21-Feb-02	1
22-Feb-02	4
24-Feb-02	2
25-Feb-02	3
26-Feb-02	3
27-Feb-02	11
28-Feb-02	12
1-Mar-02	6
2-Mar-02	1
3-Mar-02	9
4-Mar-02	13
5-Mar-02	18
6-Mar-02	7
7-Mar-02	14
8-Mar-02	33
9-Mar-02	2
10-Mar-02	8
11-Mar-02	22
12-Mar-02	5
13-Mar-02	10
14-Mar-02	9
15-Mar-02	7
16-Mar-02	16
17-Mar-02	3
18-Mar-02	13
19-Mar-02	48
20-Mar-02	33
21-Mar-02	31
22-Mar-02	29
23-Mar-02	11
24-Mar-02	1
25-Mar-02	28
26-Mar-02	28
27-Mar-02	12
28-Mar-02	7
29-Mar-02	15
30-Mar-02	3
31-Mar-02	2
1-Apr-02	4
2-Apr-02	26
3-Apr-02	11
4-Apr-02	17
5-Apr-02	6
7-Apr-02	14
8-Apr-02	26
9-Apr-02	25
10-Apr-02	14
11-Apr-02	12
12-Apr-02	49
13-Apr-02	6
14-Apr-02	26
15-Apr-02	29
16-Apr-02	38
17-Apr-02	21
18-Apr-02	35
19-Apr-02	37
20-Apr-02	27
21-Apr-02	5
22-Apr-02	18
23-Apr-02	20
24-Apr-02	15
25-Apr-02	21
26-Apr-02	2
27-Apr-02	4
28-Apr-02	2
29-Apr-02	16
30-Apr-02	19
1-May-02	11
2-May-02	16
3-May-02	14
4-May-02	15
5-May-02	7
6-May-02	34
7-May-02	23
8-May-02	3
9-May-02	7
12-May-02	1
13-May-02	10
14-May-02	14
15-May-02	22
16-May-02	11
17-May-02	9
18-May-02	6
19-May-02	2
20-May-02	1
21-May-02	20
22-May-02	23
23-May-02	30
23-May-02	1
24-May-02	29
25-May-02	20
26-May-02	23
27-May-02	40
28-May-02	22
29-May-02	26
30-May-02	21
31-May-02	9
1-Jun-02	1
2-Jun-02	3
3-Jun-02	7
4-Jun-02	9
5-Jun-02	22
6-Jun-02	27
7-Jun-02	74
8-Jun-02	5
9-Jun-02	36
10-Jun-02	36
11-Jun-02	29
12-Jun-02	7
13-Jun-02	25
14-Jun-02	9
15-Jun-02	5
16-Jun-02	1
17-Jun-02	11
18-Jun-02	21
19-Jun-02	19
20-Jun-02	61
21-Jun-02	15
22-Jun-02	7
23-Jun-02	1
24-Jun-02	10
25-Jun-02	24
26-Jun-02	10
27-Jun-02	14
28-Jun-02	8
29-Jun-02	7
30-Jun-02	13
1-Jul-02	41
2-Jul-02	19
3-Jul-02	13
4-Jul-02	12
5-Jul-02	41
6-Jul-02	12
7-Jul-02	12
8-Jul-02	16
9-Jul-02	26
10-Jul-02	21
11-Jul-02	48
12-Jul-02	26
13-Jul-02	13
14-Jul-02	20
15-Jul-02	66
16-Jul-02	36
17-Jul-02	65
18-Jul-02	37
19-Jul-02	29
20-Jul-02	8
21-Jul-02	3
22-Jul-02	34
23-Jul-02	24
24-Jul-02	47
25-Jul-02	56
26-Jul-02	48
27-Jul-02	22
28-Jul-02	19
29-Jul-02	42
30-Jul-02	20
31-Jul-02	36
1-Aug-02	56
2-Aug-02	40
3-Aug-02	13
4-Aug-02	2
5-Aug-02	28
6-Aug-02	19
7-Aug-02	51
8-Aug-02	40
9-Aug-02	22
10-Aug-02	24
11-Aug-02	5
12-Aug-02	48
13-Aug-02	19
14-Aug-02	21
15-Aug-02	43
16-Aug-02	64
17-Aug-02	25
18-Aug-02	30
19-Aug-02	28
20-Aug-02	63
21-Aug-02	44
22-Aug-02	28
23-Aug-02	28
24-Aug-02	9
25-Aug-02	9
26-Aug-02	47
27-Aug-02	34
28-Aug-02	46
29-Aug-02	21
30-Aug-02	45
31-Aug-02	52
